Pianta;Trattamento;Vive
a;CON;14
a;CON;9
a;CON;75
a;CON;3
a;CRY;30
a;CRY;12
a;CRY;16
a;CRY;26
a;EXO;39
a;EXO;19
a;EXO;37
a;EXO;8
b;CON;71
b;CON;55
b;CON;30
b;CON;30
b;CRY;24
b;CRY;34
b;CRY;38
b;CRY;15
b;EXO;43
b;EXO;0
b;EXO;56
b;EXO;116
c;CON;34
c;CON;14
c;CON;72
c;CON;54
c;CRY;85
c;CRY;58
c;CRY;89
c;CRY;4
c;EXO;70
c;EXO;0
c;EXO;3
c;EXO;40
d;CON;102
d;CON;38
d;CON;104
d;CON;60
d;CRY;13
d;CRY;0
d;CRY;17
d;CRY;103
d;EXO;0
d;EXO;24
d;EXO;64
d;EXO;18
e;CON;96
e;CON;49
e;CON;3
e;CON;20
e;CRY;1
e;CRY;76
e;CRY;4
e;CRY;6
e;EXO;25
e;EXO;80
e;EXO;32
e;EXO;76
f;CON;21
f;CON;25
f;CON;6
f;CON;15
f;CRY;26
f;CRY;26
f;CRY;53
f;CRY;3
f;EXO;1
f;EXO;0
f;EXO;0
f;EXO;3
g;CON;70
g;CON;113
g;CON;63
g;CON;66
g;CRY;10
g;CRY;7
g;CRY;0
g;CRY;30
g;EXO;130
g;EXO;125
g;EXO;3
g;EXO;37
h;CON;0
h;CON;53
h;CON;36
h;CON;3
h;CRY;3
h;CRY;11
h;CRY;14
h;CRY;78
h;EXO;76
h;EXO;92
h;EXO;45
h;EXO;20
i;CON;110
i;CON;58
i;CON;53
i;CON;60
i;CRY;32
i;CRY;40
i;CRY;62
i;CRY;77
i;EXO;115
i;EXO;71
i;EXO;14
i;EXO;29
l;CON;138
l;CON;80
l;CON;4
l;CON;95
l;CRY;0
l;CRY;78
l;CRY;25
l;CRY;36
l;EXO;20
l;EXO;115
l;EXO;37
l;EXO;137
m;CON;61
m;CON;66
m;CON;6
m;CON;59
m;CRY;14
m;CRY;30
m;CRY;1
m;CRY;13
m;EXO;12
m;EXO;25
m;EXO;56
m;EXO;43
n;CON;88
n;CON;45
n;CON;83
n;CON;97
n;CRY;22
n;CRY;23
n;CRY;59
n;CRY;60
n;EXO;85
n;EXO;38
n;EXO;1
n;EXO;0
o;CON;103
o;CON;71
o;CON;58
o;CON;137
o;CRY;62
o;CRY;45
o;CRY;63
o;CRY;42
o;EXO;9
o;EXO;13
o;EXO;67
o;EXO;72
p;CON;61
p;CON;55
p;CON;37
p;CON;48
p;CRY;95
p;CRY;0
p;CRY;100
p;CRY;92
p;EXO;64
p;EXO;55
p;EXO;2
p;EXO;46
q;CON;37
q;CON;68
q;CON;87
q;CON;91
q;CRY;10
q;CRY;16
q;CRY;18
q;CRY;53
q;EXO;12
q;EXO;107
q;EXO;59
q;EXO;57
