specie;minuti;;medie;dev.st;err.st;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;3.16;3,16;;;;;;;;;;;;;;;;;
EXO;3.46;3,46;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;Statistica;Test;Cryptolaemus montoruzieri;Exochomus quadripustulatus;Z;P;NDF
EXO;1.30;1,3;;;;;;;;;;;;A;2,79 ± 0,34 a;1,82 ± 0,23 b;6.846;0.04;40
EXO;1.00;1;;;;;;;;;;;GLM.nb;B;2,72 ± 0,25 a;1,51 ± 0,25 b;7.748;0.005;45
EXO;0.10;0,1;;;;;;;;;;;;C;2,59 ± 0,26 a;1,79 ± 0,27 a;6.493;0.078;42
EXO;3.00;3;;;;;;;;;;;;A-B-C;2,70 ± 0,16 a;1,71 ± 0,15 b;3.737,000;0.0001;130
EXO;2.45;2,45;;;;;;;;;;;;;;;;;
EXO;2.45;2,45;;;;;;;;;;;;;;;;;
EXO;3.10;3,1;;;;;;;;;;;;;;;;;
EXO;2.30;2,3;;;;;;;;;;;;;;;;;
EXO;1.50;1,5;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;0.47;0,47;;;;;;;;;;;;;;;;;
EXO;3.00;3;;;;;;;;;;;;;;;;;
EXO;0.29;0,29;;;;;;;;;;;;;;;;;
EXO;0.45;0,45;;;;;;;;;;;;;;;;;
EXO;3.00;3;;;;;;;;;;;;;;;;;
EXO;1.20;1,2;;;;;;;;;;;;;;;;;
EXO;4.30;4,3;;;;;;;;;;;;;;;;;
EXO;2.30;2,3;1,82;1,17;0,23;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;1.15;1,15;;;;;;;;;;;;;;;;;
CRY;3.20;3,2;;;;;;;;;;;;;;;;;
CRY;2.15;2,15;;;;;;;;;;;;;;;;;
CRY;2.10;2,1;;;;;;;;;;;;;;;;;
CRY;1.50;1,5;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;1.00;1;;;;;;;;;;;;;;;;;
CRY;5.00;5;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;2.20;2,2;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;0.30;0,3;2,79;1,36;0,34;;;;;;;;;;;;;;
EXO;2.30;2,3;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;4.30;4,3;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;;;;;;;
EXO;1.20;1,2;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;;;;;;;
EXO;1.25;1,25;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;3.20;3,2;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;0.19;0,19;;;;;;;;;;;;;;;;;
EXO;0.45;0,45;;;;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;3.45;3,45;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;0.25;0,25;;;;;;;;;;;;;;;;;
EXO;0.25;0,25;;;;;;;;;;;;;;;;;
EXO;2.30;2,3;;;;;;;;;;;;;;;;;
EXO;4.30;4,3;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;0.40;0,4;1,51;1,21;0,25;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;4.30;4,3;;;;;;;;;;;;;;;;;
CRY;3.20;3,2;;;;;;;;;;;;;;;;;
CRY;1.30;1,3;;;;;;;;;;;;;;;;;
CRY;4.20;4,2;;;;;;;;;;;;;;;;;
CRY;2.20;2,2;;;;;;;;;;;;;;;;;
CRY;5.00;5;;;;;;;;;;;;;;;;;
CRY;2.50;2,5;;;;;;;;;;;;;;;;;
CRY;1.00;1;;;;;;;;;;;;;;;;;
CRY;3.23;3,23;;;;;;;;;;;;;;;;;
CRY;2.30;2,3;;;;;;;;;;;;;;;;;
CRY;1.15;1,15;;;;;;;;;;;;;;;;;
CRY;1.00;1;;;;;;;;;;;;;;;;;
CRY;3.00;3;;;;;;;;;;;;;;;;;
CRY;2.30;2,3;;;;;;;;;;;;;;;;;
CRY;3.00;3;;;;;;;;;;;;;;;;;
CRY;1.45;1,45;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;2.45;2,45;;;;;;;;;;;;;;;;;
CRY;4.30;4,3;;;;;;;;;;;;;;;;;
CRY;4.00;4;2,72;1,17;0,25;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;1.16;1,16;;;;;;;;;;;;;;;;;
EXO;2.30;2,3;;;;;;;;;;;;;;;;;
EXO;3.20;3,2;;;;;;;;;;;;;;;;;
EXO;0.50;0,5;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;1.15;1,15;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;;;;;;;
EXO;4.00;4;;;;;;;;;;;;;;;;;
EXO;5.00;5;;;;;;;;;;;;;;;;;
EXO;1.30;1,3;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;0.30;0,3;;;;;;;;;;;;;;;;;
EXO;3.00;3;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;;;;;;;
EXO;5.00;5;;;;;;;;;;;;;;;;;
EXO;1.00;1;;;;;;;;;;;;;;;;;
EXO;3.00;3;;;;;;;;;;;;;;;;;
EXO;2.00;2;;;;;;;;;;;;;;;;;
EXO;2.00;2;1,79;1,36;0,27;;;;;;;;;;;;;;
CRY;3.00;3;;;;;;;;;;;;;;;;;
CRY;2.20;2,2;;;;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;1.30;1,3;;;;;;;;;;;;;;;;;
CRY;3.00;3;;;;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;1.30;1,3;;;;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;5.00;5;;;;;;;;;;;;;;;;;
CRY;4.45;4,45;;;;;;;;;;;;;;;;;
CRY;2.15;2,15;;;;;;;;;;;;;;;;;
CRY;3.00;3;;;;;;;;;;;;;;;;;
CRY;4.00;4;;;;;;;;;;;;;;;;;
CRY;2.45;2,45;;;;;;;;;;;;;;;;;
CRY;1.30;1,3;;;;;;;;;;;;;;;;;
CRY;2.00;2;;;;;;;;;;;;;;;;;
CRY;1.45;1,45;;;;;;;;;;;;;;;;;
CRY;4.00;4;2,59;1,1;0,26;;;;;;;;;;;;;;
