Specie;Sopravvivenza;Stato
EXO;55;1
EXO;52;1
EXO;50;1
EXO;62;1
EXO;58;1
EXO;50;1
EXO;52;1
EXO;50;1
EXO;55;1
EXO;50;1
CRY;29;1
CRY;52;1
CRY;40;1
CRY;29;1
CRY;24;1
CRY;32;1
CRY;70;1
CRY;29;1
CRY;40;1
CRY;32;1
EXO;28;1
EXO;48;1
EXO;40;1
EXO;40;1
EXO;48;1
EXO;34;1
EXO;34;1
EXO;34;1
EXO;34;1
EXO;40;1
CRY;34;1
CRY;25;1
CRY;25;1
CRY;19;1
CRY;19;1
CRY;19;1
CRY;19;1
CRY;25;1
CRY;19;1
CRY;19;1
EXO;34;1
EXO;34;1
EXO;40;1
EXO;34;1
EXO;51;1
EXO;25;1
EXO;40;1
EXO;40;1
EXO;34;1
EXO;48;1
CRY;19;1
CRY;25;1
CRY;25;1
CRY;25;1
CRY;25;1
CRY;25;1
CRY;28;1
CRY;19;1
CRY;19;1
CRY;25;1
