Ramo;Pianta;Totale
uno;a;9
uno;a;69
uno;a;17
due;a;22
due;a;78
due;a;143
tre;b;78
tre;b;86
tre;b;133
quattro;b;41
quattro;b;87
quattro;b;52
cinque;c;46
cinque;c;41
cinque;c;73
sei ;c;42
sei ;c;90
sei ;c;11
sette;d;47
sette;d;61
sette;d;50
otto;d;38
otto;d;40
otto;d;51
nove;e;26
nove;e;53
nove;e;63
dieci;e;127
dieci;e;25
dieci;e;74
undici;f;170
undici;f;61
undici;f;22
dodici;f;43
dodici;f;52
dodici;f;81
tredici;g;10
tredici;g;45
tredici;g;61
quattordici;g;26
quattordici;g;42
quattordici;g;28
quindici;h;46
quindici;h;92
quindici;h;106
sedici;h;89
sedici;h;74
sedici;h;49
diciassette;i;55
diciassette;i;32
diciassette;i;62
diciotto;i;69
diciotto;i;91
diciotto;i;77
diciannove;l;110
diciannove;l;134
diciannove;l;130
venti;l;169
venti;l;41
venti;l;41
ventuno;m;81
ventuno;m;40
ventuno;m;77
ventidue;m;38
ventidue;m;173
ventidue;m;102
ventitre;n;43
ventitre;n;67
ventitre;n;53
ventiquattro;n;78
ventiquattro;n;63
ventiquattro;n;66
venticinque;o;49
venticinque;o;95
venticinque;o;182
ventisei;o;66
ventisei;o;80
ventisei;o;90
ventisette;p;47
ventisette;p;108
ventisette;p;76
ventotto;p;94
ventotto;p;123
ventotto;p;52
ventinove;q;25
ventinove;q;91
ventinove;q;19
trenta;q;46
trenta;q;29
trenta;q;109
