Ramo;Pianta;Totale
uno;a;9
uno;a;69
uno;a;17
due;a;22
due;a;78
due;a;143
tre;b;78
tre;b;86
tre;b;133
quattro;b;41
quattro;b;87
quattro;b;52
cinque;c;46
cinque;c;41
cinque;c;73
sei ;c;42
sei ;c;90
sei ;c;11
sette;d;47
sette;d;61
sette;d;50
otto;d;38
otto;d;40
otto;d;51
nove;e;26
nove;e;53
nove;e;63
dieci;e;127
dieci;e;25
dieci;e;74
undici;f;170
undici;f;61
undici;f;22
dodici;f;43
dodici;f;52
dodici;f;81
tredici;g;10
tredici;g;45
tredici;g;61
quattordici;g;26
quattordici;g;42
quattordici;g;28
quindici;h;46
quindici;h;92
quindici;h;106
sedici;h;89
sedici;h;74
sedici;h;49
diciassette;i;55
diciassette;i;32
diciassette;i;62
diciotto;i;69
diciotto;i;91
diciotto;i;77
diciannove;l;81
diciannove;l;40
diciannove;l;77
venti;l;38
venti;l;173
venti;l;102
ventuno;m;43
ventuno;m;67
ventuno;m;53
ventidue;m;78
ventidue;m;63
ventidue;m;66
ventitre;n;49
ventitre;n;95
ventitre;n;182
ventiquattro;n;66
ventiquattro;n;80
ventiquattro;n;90
venticinque;o;47
venticinque;o;108
venticinque;o;76
ventisei;o;94
ventisei;o;123
ventisei;o;52
ventisette;p;25
ventisette;p;91
ventisette;p;19
ventotto;p;46
ventotto;p;29
ventotto;p;109
